Date,Items,Type,Total,Wallet,
15-Jun-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.35 
,,Wallet,Credit,,
13-Jun-24,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.33 
,,Wallet,Credit,,
9-Jun-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.29 
,,Wallet,Credit,,
4-Jun-24,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.26 
,,Wallet,Credit,,
4-Jun-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.22 
,,Wallet,Credit,,
8-May-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.20 
,,Wallet,Credit,,
30-Apr-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.17 
,,Wallet,Credit,,
27-Apr-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.15 
,,Wallet,Credit,,
25-Apr-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.13 
,,Wallet,Credit,,
8-Apr-24,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$0.11 
,,Wallet,Credit,,
5-Apr-24,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.10 
,,Wallet,Credit,,
2-Apr-24,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.06 
,,Wallet,Credit,,
28-Mar-24,Enshrouded,Purchase,$33.12 ,($0.40),$0.00 
,,$0.40 Wallet,,,
,,$32.72 PayPal,,,
14-Mar-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.40 
,,Wallet,Credit,,
12-Mar-24,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.37 
,,Wallet,Credit,,
10-Mar-24,Steam Community Market,2 Market Transactions,$0.03 ,$0.03 ,$0.31 
,,Wallet,Credit,,
29-Feb-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.28 
,,Wallet,Credit,,
23-Feb-24,Steam Community Market,Market Transaction,$0.13 ,$0.13 ,$0.25 
,,Wallet,Credit,,
18-Feb-24,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$0.12 
,,Wallet,Credit,,
17-Feb-24,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.04 
,,Wallet,Credit,,
3-Jan-24,Assassin's Creed Unity (RoW),Purchase,$95.29 ,($3.12),$0.00 
,Assassin's Creed Syndicate (WW),$3.12 Wallet,,,
,Assassin's Creed Black Flag - Gold Edition,$92.17 Discover,,,
,Assassin's Creed,,,,
,Assassin's Creed II,,,,
,Assassin's Creed 3 Remastered Edition,,,,
,Assassin's Creed Freedom Cry,,,,
,Assassin's Creed Odyssey - Standard Edition,,,,
,Assassin's Creed Valhalla,,,,
,Assassin's Creed Brotherhood,,,,
,Assassin's Creed Revelations,,,,
,Assassin's Creed Liberation Release,,,,
29-Dec-23,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$3.12 
,,Wallet,Credit,,
28-Nov-23,Steam Community Market,3 Market Transactions,$0.03 ,$0.03 ,$3.08 
,,Wallet,Credit,,
27-Nov-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$3.05 
,,Wallet,Credit,,
25-Nov-23,Steam Community Market,5 Market Transactions,$0.09 ,$0.09 ,$3.03 
,,Wallet,Credit,,
26-Aug-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.94 
,,Wallet,Credit,,
21-Aug-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.92 
,,Wallet,Credit,,
13-Aug-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.90 
,,Wallet,Credit,,
11-Aug-23,Steam Community Market,8 Market Transactions,$0.08 ,$0.08 ,$2.88 
,,Wallet,Credit,,
29-Jul-23,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$2.80 
,,Wallet,Credit,,
23-Jul-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.76 
,,Wallet,Credit,,
15-Jul-23,Fallout New Vegas Ultimate ROW,Purchase,$22.08 ,,
,,PayPal,,,
10-Jun-23,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$2.74 
,,Wallet,Credit,,
1-Jun-23,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.70 
,,Wallet,Credit,,
23-Apr-23,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$2.67 
,,Wallet,Credit,,
22-Apr-23,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$2.61 
,,Wallet,Credit,,
18-Apr-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.57 
,,Wallet,Credit,,
17-Apr-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.55 
,,Wallet,Credit,,
8-Apr-23,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.53 
,,Wallet,Credit,,
6-Apr-23,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.50 
,,Wallet,Credit,,
1-Apr-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.47 
,,Wallet,Credit,,
30-Mar-23,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.45 
,,Wallet,Credit,,
25-Mar-23,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$2.43 
,,Wallet,Credit,,
19-Mar-23,Steam Community Market,3 Market Transactions,$0.07 ,$0.07 ,$2.37 
,,Wallet,Credit,,
17-Mar-23,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$2.30 
,,Wallet,Credit,,
12-Mar-23,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$2.26 
,,Wallet,Credit,,
5-Mar-23,Steam Community Market,4 Market Transactions,$0.10 ,$0.10 ,$2.22 
,,Wallet,Credit,,
4-Mar-23,Steam Community Market,9 Market Transactions,$0.32 ,$0.32 ,$2.12 
,,Wallet,Credit,,
2-Mar-23,Steam Community Market,6 Market Transactions,$0.13 ,$0.13 ,$1.80 
,,Wallet,Credit,,
1-Mar-23,Steam Community Market,3 Market Transactions,$0.06 ,$0.06 ,$1.67 
,,Wallet,Credit,,
24-Dec-22,Sekiro: Shadows Die Twice (Rest of World),Purchase,$41.39 ,,
,Oxygen Not Included,Discover **88,,,
30-Aug-22,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.61 
,,Wallet,Credit,,
16-Aug-22,Steam Community Market,2 Market Transactions,$0.03 ,$0.03 ,$1.59 
,,Wallet,Credit,,
3-Aug-22,Steam Community Market,2 Market Transactions,$0.05 ,$0.05 ,$1.56 
,,Wallet,Credit,,
27-Jul-22,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$1.51 
,,Wallet,Credit,,
26-Jul-22,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$1.47 
,,Wallet,Credit,,
25-Jul-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.43 
,,Wallet,Credit,,
24-Jul-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.40 
,,Wallet,Credit,,
3-Jul-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.37 
,,Wallet,Credit,,
28-Jun-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.34 
,,Wallet,Credit,,
22-Jun-22,Steam Community Market,2 Market Transactions,$0.03 ,$0.03 ,$1.31 
,,Wallet,Credit,,
21-Jun-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.28 
,,Wallet,Credit,,
14-Jun-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.25 
,,Wallet,Credit,,
10-Jun-22,Steam Community Market,6 Market Transactions,$0.24 ,$0.24 ,$1.22 
,,Wallet,Credit,,
4-Jun-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.98 
,,Wallet,Credit,,
1-Jun-22,FOREWARNED,Purchase,$13.96 ,,
,,Discover **88,,,
31-May-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.95 
,,Wallet,Credit,,
26-May-22,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.92 
,,Wallet,Credit,,
23-May-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.90 
,,Wallet,Credit,,
16-May-22,Door Kickers 2,Purchase,$19.34 ,,
,,Discover **88,,,
11-Apr-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.87 
,,Wallet,Credit,,
6-Apr-22,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.84 
,,Wallet,Credit,,
3-Apr-22,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.80 
,,Wallet,Credit,,
25-Mar-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.75 
,,Wallet,Credit,,
21-Mar-22,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.72 
,,Wallet,Credit,,
18-Mar-22,Steam Community Market,Market Transaction,$0.25 ,$0.25 ,$0.68 
,,Wallet,Credit,,
4-Mar-22,Increlution,Purchase,$3.21 ,,
,,Discover **88,,,
26-Feb-22,Steam Community Market,2 Market Transactions,$0.31 ,$0.31 ,$0.43 
,,Wallet,Credit,,
25-Feb-22,Steam Community Market,Market Transaction,$0.12 ,$0.12 ,$0.12 
,,Wallet,Credit,,
23-Feb-22,ELDEN RING,Purchase,$64.49 ,($1.88),$0.00 
,,$1.88 Wallet,,,
,,$62.61 Discover,,,
19-Feb-22,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$1.88 
,,Wallet,Credit,,
13-Feb-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.87 
,,Wallet,Credit,,
11-Feb-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.84 
,,Wallet,Credit,,
9-Feb-22,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.81 
,,Wallet,Credit,,
7-Feb-22,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.75 
,,Wallet,Credit,,
31-Jan-22,Steam Community Market,3 Market Transactions,$0.12 ,$0.12 ,$1.70 
,,Wallet,Credit,,
30-Jan-22,Steam Community Market,3 Market Transactions,$0.10 ,$0.10 ,$1.58 
,,Wallet,Credit,,
28-Jan-22,Project Zomboid,Purchase,$21.49 ,,
,,Discover **88,,,
24-Jan-22,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.48 
,,Wallet,Credit,,
19-Jan-22,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$1.46 
,,Wallet,Credit,,
19-Jan-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.38 
,,Wallet,Credit,,
17-Jan-22,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.35 
,,Wallet,Credit,,
10-Jan-22,WayOut,Purchase,$17.18 ,,
,WayOut 2: Hex,Discover **88,,,
,"Sorry, James",,,,
,Lines X,,,,
,Lines Infinite,,,,
,Sudoku Universe,,,,
,The Big Journey,,,,
,Nonogram - The Greatest Painter,,,,
,Sudoku Jigsaw,,,,
,Sudoku Killer,,,,
9-Jan-22,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$1.32 
,,Wallet,Credit,,
7-Jan-22,Steam Community Market,4 Market Transactions,$0.17 ,$0.17 ,$1.24 
,,Wallet,Credit,,
4-Jan-22,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.07 
,,Wallet,Credit,,
3-Jan-22,Steam Community Market,Market Transaction,$0.27 ,$0.27 ,$1.02 
,,Wallet,Credit,,
28-Dec-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.75 
,,Wallet,Credit,,
23-Dec-21,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$0.69 
,,Wallet,Credit,,
16-Dec-21,Steam Community Market,3 Market Transactions,$0.16 ,$0.16 ,$0.68 
,,Wallet,Credit,,
16-Dec-21,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$0.52 
,,Wallet,Credit,,
8-Dec-21,Steam Community Market,3 Market Transactions,$0.10 ,$0.10 ,$0.44 
,,Wallet,Credit,,
6-Dec-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.34 
,,Wallet,Credit,,
25-Nov-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.31 
,,Wallet,Credit,,
22-Nov-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.29 
,,Wallet,Credit,,
20-Nov-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.23 
,,Wallet,Credit,,
12-Nov-21,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$0.20 
,,Wallet,Credit,,
10-Nov-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.12 
,,Wallet,Credit,,
8-Nov-21,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.09 
,,Wallet,Credit,,
30-Oct-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.04 
,,Wallet,Credit,,
29-Oct-21,Castle Crashers,Purchase,$3.21 ,($1.71),$0.00 
,,$1.71 Wallet,,,
,,$1.50 MasterCard,,,
17-Oct-21,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.71 
,,Wallet,Credit,,
15-Oct-21,Steam Community Market,3 Market Transactions,$0.14 ,$0.14 ,$1.66 
,,Wallet,Credit,,
12-Oct-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$1.52 
,,Wallet,Credit,,
10-Oct-21,Steam Community Market,4 Market Transactions,$0.14 ,$0.14 ,$1.48 
,,Wallet,Credit,,
9-Oct-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.34 
,,Wallet,Credit,,
18-Sep-21,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$1.31 
,,Wallet,Credit,,
16-Sep-21,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.25 
,,Wallet,Credit,,
13-Sep-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.20 
,,Wallet,Credit,,
13-Sep-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.14 
,,Wallet,Credit,,
11-Sep-21,Steam Community Market,4 Market Transactions,$0.11 ,$0.11 ,$1.08 
,,Wallet,Credit,,
9-Sep-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.97 
,,Wallet,Credit,,
4-Sep-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.93 
,,Wallet,Credit,,
30-Aug-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.91 
,,Wallet,Credit,,
27-Aug-21,Steam Community Market,5 Market Transactions,$0.29 ,$0.29 ,$0.87 
,,Wallet,Credit,,
25-Aug-21,Steam Community Market,4 Market Transactions,$0.15 ,$0.15 ,$0.58 
,,Wallet,Credit,,
24-Aug-21,Steam Community Market,6 Market Transactions,$0.41 ,$0.41 ,$0.43 
,,Wallet,Credit,,
26-Jul-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.02 
,,Wallet,Credit,,
3-Jul-21,Satisfactory,Purchase,$26.29 ,($6.57),$0.00 
,,$6.57 Wallet,,,
,,$19.72 MasterCard,,,
28-Jun-21,Steam Community Market,Market Transaction,$0.13 ,$0.13 ,$6.57 
,,Wallet,Credit,,
27-Jun-21,Monopoly Plus,Refund,$6.44 ,$6.44 ,$6.44 
,Refund,$0.06 Wallet,,,
,,$6.38 MasterCard,,,
27-Jun-21,Monopoly Plus,Purchase,$6.44 ,($0.06),$0.00 
,,$0.06 Wallet,,,
,,$6.38 MasterCard,,,
16-Jun-21,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.06 
,,Wallet,Credit,,
27-May-21,Dread Hunger,Purchase,$27.39 ,($0.29),$0.00 
,,$0.29 Wallet,,,
,,$27.10 MasterCard,,,
25-May-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.29 
,,Wallet,Credit,,
24-May-21,Caveblazers,Purchase,$1.09 ,($1.09),$0.27 
,,Wallet,,,
24-May-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.36 
,,Wallet,Credit,,
14-May-21,Steam Community Market,4 Market Transactions,$1.34 ,$1.34 ,$1.34 
,,Wallet,Credit,,
14-May-21,Mass Effect™ Legendary Edition,Purchase,$65.75 ,($1.45),$0.00 
,,$1.45 Wallet,,,
,,$64.30 MasterCard,,,
12-May-21,Steam Community Market,5 Market Transactions,$0.18 ,$0.18 ,$1.45 
,,Wallet,Credit,,
7-May-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$1.27 
,,Wallet,Credit,,
2-May-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.23 
,,Wallet,Credit,,
30-Apr-21,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$1.20 
,,Wallet,Credit,,
29-Apr-21,Steam Community Market,6 Market Transactions,$0.30 ,$0.30 ,$1.10 
,,Wallet,Credit,,
29-Apr-21,Steam Community Market,5 Market Transactions,$0.23 ,($0.23),$0.80 
,,Wallet,,,
10-Apr-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.03 
,,Wallet,Credit,,
1-Apr-21,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.00 
,,Wallet,Credit,,
28-Mar-21,Steam Community Market,3 Market Transactions,$0.13 ,$0.13 ,$0.95 
,,Wallet,Credit,,
26-Mar-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.82 
,,Wallet,Credit,,
21-Mar-21,Steam Community Market,2 Market Transactions,$0.14 ,$0.14 ,$0.80 
,,Wallet,Credit,,
4-Mar-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.66 
,,Wallet,Credit,,
28-Feb-21,Steam Community Market,2 Market Transactions,$0.05 ,$0.05 ,$0.63 
,,Wallet,Credit,,
27-Feb-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.58 
,,Wallet,Credit,,
25-Feb-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.52 
,,Wallet,Credit,,
24-Feb-21,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.46 
,,Wallet,Credit,,
17-Feb-21,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.41 
,,Wallet,Credit,,
15-Feb-21,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.37 
,,Wallet,Credit,,
11-Feb-21,Steam Community Market,5 Market Transactions,$0.15 ,$0.15 ,$0.31 
,,Wallet,Credit,,
9-Feb-21,Steam Community Market,4 Market Transactions,$0.14 ,$0.14 ,$0.16 
,,Wallet,Credit,,
9-Feb-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.02 
,,Wallet,Credit,,
8-Feb-21,Valheim,Purchase,$21.91 ,($1.76),$0.00 
,,$1.76 Wallet,,,
,,$20.15 MasterCard,,,
8-Feb-21,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.76 
,,Wallet,Credit,,
6-Feb-21,Steam Community Market,3 Market Transactions,$0.19 ,$0.19 ,$1.73 
,,Wallet,Credit,,
4-Feb-21,Steam Community Market,10 Market Transactions,$0.33 ,$0.33 ,$1.54 
,,Wallet,Credit,,
3-Feb-21,Steam Community Market,7 Market Transactions,$0.32 ,$0.32 ,$1.21 
,,Wallet,Credit,,
2-Feb-21,Steam Community Market,8 Market Transactions,$0.48 ,$0.48 ,$0.89 
,,Wallet,Credit,,
2-Feb-21,Steam Community Market,6 Market Transactions,$0.37 ,$0.37 ,$0.41 
,,Wallet,Credit,,
31-Jan-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.04 
,,Wallet,Credit,,
29-Jan-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.02 
,,Wallet,Credit,,
23-Jan-21,Dyson Sphere Program,Purchase,$19.72 ,($0.56),$0.00 
,,$0.56 Wallet,,,
,,$19.16 MasterCard,,,
22-Jan-21,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.56 
,,Wallet,Credit,,
17-Jan-21,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.54 
,,Wallet,Credit,,
15-Jan-21,Steam Community Market,2 Market Transactions,$0.14 ,$0.14 ,$0.44 
,,Wallet,Credit,,
13-Jan-21,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.30 
,,Wallet,Credit,,
10-Jan-21,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.24 
,,Wallet,Credit,,
9-Jan-21,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.14 
,,Wallet,Credit,,
1-Jan-21,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.08 
,,Wallet,Credit,,
25-Dec-20,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.04 
,,Wallet,Credit,,
24-Dec-20,Assassin’s Creed® Chronicles: Trilogy,Purchase,$71.50 ,($66.79),$0.00 
,"Hot Dogs, Horseshoes &amp; Hand Grenades",$66.79 Wallet,,,
,Danganronpa: Trigger Happy Havoc,$4.71 MasterCard,,,
,5D Chess With Multiverse Time Travel,,,,
,DARQ,,,,
,Chrono Trigger,,,,
,Assassin's Creed - Rogue Deluxe,,,,
24-Dec-20,Purchased $50.00 Wallet Credit,Purchase,$50.00 ,$50.00 ,$66.79 
,,Retail,,,
22-Dec-20,STAR WARS™: Squadrons,Purchase,$40.52 ,,
,Assassin's Creed Origins - Standard Edition,MasterCard **66,,,
,Poly Bridge,,,,
22-Dec-20,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$16.79 
,,Wallet,Credit,,
17-Dec-20,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$16.77 
,,Wallet,Credit,,
14-Dec-20,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$16.73 
,,Wallet,Credit,,
13-Dec-20,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$16.67 
,,Wallet,Credit,,
12-Dec-20,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$16.65 
,,Wallet,Credit,,
11-Dec-20,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$16.61 
,,Wallet,Credit,,
9-Dec-20,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$16.59 
,,Wallet,Credit,,
8-Dec-20,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$16.55 
,,Wallet,Credit,,
6-Dec-20,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$16.47 
,,Wallet,Credit,,
4-Dec-20,Craftlands Workshoppe,Refund,$16.43 ,$16.43 ,$16.43 
,Refund,$0.06 Wallet,,,
,,$16.37 MasterCard,,,
4-Dec-20,Craftlands Workshoppe,Purchase,$16.43 ,($0.06),$0.00 
,,$0.06 Wallet,,,
,,$16.37 MasterCard,,,
2-Dec-20,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.06 
,,Wallet,Credit,,
1-Dec-20,Among Us,Purchase,$4.37 ,,
,,MasterCard **66,,,
29-Nov-20,Tower Tag,Purchase,$41.07 ,($0.33),$0.00 
,Swords of Gurrah,$0.33 Wallet,,,
,Blade & Sorcery,$40.74 MasterCard,,,
10-Nov-20,Steam Community Market,Market Transaction,$0.13 ,$0.13 ,$0.33 
,,Wallet,Credit,,
4-Nov-20,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.20 
,,Wallet,Credit,,
2-Nov-20,Warhammer: Vermintide 2,Purchase,$8.21 ,,
,,MasterCard **66,,,
31-Oct-20,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$0.10 
,,Wallet,Credit,,
28-Oct-20,Steam Community Market,Market Transaction,$0.09 ,$0.09 ,$0.09 
,,Wallet,Credit,,
20-Oct-20,STRIDE,Purchase,$21.64 ,($0.08),$0.00 
,,$0.08 Wallet,,,
,,$21.56 MasterCard,,,
19-Oct-20,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.08 
,,Wallet,Credit,,
16-Oct-20,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.04 
,,Wallet,Credit,,
19-Sep-20,A Monster's Expedition,Purchase,$21.13 ,($0.03),$0.00 
,Cosmic Express,$0.03 Wallet,,,
,Sokobond,$21.10 MasterCard,,,
18-Sep-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.03 
,,Wallet,Credit,,
2-Sep-20,Fall Guys,Purchase,$21.64 ,($0.29),$0.00 
,,$0.29 Wallet,,,
,,$21.35 MasterCard,,,
18-Jul-20,Steam Community Market,4 Market Transactions,$0.29 ,$0.29 ,$0.29 
,,Wallet,Credit,,
18-Jul-20,shapez,Purchase,$4.32 ,,
